feat_name,imp
feat_0,10.8216213571
feat_1,23.4163501481
feat_2,11.565690294100001
feat_3,48.9171478125
feat_4,113.584958947
feat_5,11.0962521419
feat_6,17.8663032911
feat_7,26.624295454499997
feat_8,8.02320777095
feat_9,11.2232443967
feat_10,24.5941423598
feat_11,28.699749
feat_12,25.775422679000002
feat_13,16.1959695
feat_14,11.397097619
feat_15,10.6688073224
feat_16,146.73557250000005
feat_17,23.4428398347
feat_18,11.718083461500001
feat_19,13.567881818699998
feat_20,8.789489411760002
feat_21,30.6499793103
feat_22,10.708858439
feat_23,16.2798533926
feat_24,8.307419928060003
feat_25,11.1156423881
feat_26,10.9661604717
feat_27,28.9956640463
feat_28,11.607423439200002
feat_29,35.8433884211
feat_30,11.9170976667
feat_31,7.815233333330001
feat_32,22.894614
feat_33,12.3991074603
feat_34,16.485753913
feat_35,11.297780625
feat_36,8.3932906449
feat_37,15.230949728299999
feat_38,8.202025200000001
feat_39,10.4006885714
feat_40,12.918274803800001
feat_41,41.7556285075
feat_42,8.27308114035
feat_43,90.61743875
feat_44,16.160808051900002
feat_45,39.1513645833
feat_46,28.195249158200003
feat_47,11.925391071400002
feat_48,39.5888431379
feat_49,25.952234090900003
feat_50,11.6053776503
feat_51,10.2122409615
feat_52,8.86319782
feat_53,26.429423928600002
feat_54,8.92956916667
feat_55,13.319904821400002
feat_56,22.599339901
feat_57,19.431493224
feat_58,9.70069634855
feat_59,19.0049746667
feat_60,35.4501718966
feat_61,72.6334658974
feat_62,38.310038
feat_63,7.72638458065
feat_64,9.84875153025
feat_65,15.948526475
feat_66,18.7450463636
feat_67,151.57445307700002
feat_68,10.638199758999999
feat_69,21.6299969863
feat_70,180.07161175
feat_71,39.1086955
feat_72,211.432106861
feat_73,26.0100392308
feat_74,9.14663557073
feat_75,19.9266190476
feat_76,10.540188666699999
feat_77,15.1881593548
feat_78,12.2875825
feat_79,128.742952879
